Id,Label,timeset,att1,att2,att3,isometric_z_value,splitter_z_value,eigencentrality,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,modularity_class
141,Nanoarchaeota,,247c6967f0313f2a335d9f646ae8d153,Nanoarchaeota,M2,0,0,0.304557,18,13.701901,10,0.228975,0.302236,227.598512,1,0.660131,101,14
142,Nanoarchaeota,,f4989a09d2487b78c6cfe6d280407eaf,Nanoarchaeota,M5,0,0,0.00129,2,1.474426,7,0.25,0.353463,0,2,1,1,10
143,Patescibacteria,,f7ee86ef8695ed49e7d370c71c1e681f,Patescibacteria,M3,0,0,0.001788,3,2.343667,9,0.180368,0.200244,1.833333,1,0.666667,2,24
144,Chloroflexi,,42316863efb4bb394dc5c0c90c7a1cae,Chloroflexi,M2,0,0,0.166261,11,8.158869,9,0.247676,0.30776,256.956621,1,0.654545,36,14
145,Planctomycetota,,3d19e68819555a52281a8555b3572c26,Planctomycetota,M4,0,0,0.001779,2,1.455804,12,0.166741,0.18968,372,1,0,0,29
146,Crenarchaeota,,5688500f9315a5827d7dcf2257a689cf,Crenarchaeota,M2,0,0,0.896526,51,41.023201,9,0.264352,0.379744,802.399163,1,0.498824,636,14
147,Crenarchaeota,,560e576f4a42a658474ad1659087775e,Crenarchaeota,M2,0,0,0.010983,1,0.73166,11,0.187343,0.22203,0,1,0,0,14
148,Chloroflexi,,669bc96d867d3c409e47f7a913e19568,Chloroflexi,M1,0,0,0.020205,3,2.253247,9,0.239256,0.274008,0,1,1,3,21
149,Planctomycetota,,ef14edb8cfcc8dc9e8b6919ae84196e9,Planctomycetota,M4,0,0,0.032668,19,15.114356,11,0.2129,0.275347,2156.905672,1,0.438596,75,29
150,Asgardarchaeota,,531ea7eacfe90913bd1999b9a16a3946,Asgardarchaeota,M3,0,0,0.000498,1,0.741459,13,0.108493,0.120539,0,1,0,0,24
151,Aerophobota,,c13a988745437b68480dde4e34e2973a,Aerophobota,M1,0,0,0.227422,27,20.73777,11,0.217366,0.303532,1524.361656,1,0.490028,172,16
152,Chloroflexi,,a794fc905489df501a52d8ca4d501c96,Chloroflexi,M1,0,0,0.049936,12,9.642675,12,0.1865,0.24945,381.292553,1,0.545455,36,16
153,Aerophobota,,444e11c811575b4e83e99b7a40c62ac6,Aerophobota,M1,0,0,0.00107,1,0.759183,13,0.155741,0.180452,0,1,0,0,16
154,Crenarchaeota,,7dacb10e74eed36b36658770fdf4f9fb,Crenarchaeota,M2,0,0,0.289371,16,12.270071,10,0.218768,0.295029,72.256963,1,0.733333,88,14
155,Desulfobacterota,,c71fe85f63a96e9d3cb74e537b2b33f2,Desulfobacterota,M1,0,0,0.39671,39,30.986617,10,0.258848,0.354866,2762.628826,1,0.535762,397,16
156,Proteobacteria,,6b91ba68e09d746d475d5e046470f0e3,Proteobacteria,M4,0,0,0.027218,6,4.485513,10,0.240026,0.284465,0,1,1,15,21
157,Crenarchaeota,,fffb6cd031ffef3b75f4838f0863db0b,Crenarchaeota,M2,0,0,0.002554,1,0.722533,11,0.19851,0.222366,0,1,0,0,21
158,Patescibacteria,,ed694bf0012d08b3d83602c4282fa64b,Patescibacteria,M12,0,0,0.000523,1,0.732908,11,0.164825,0.178496,0,1,0,0,27
159,Chloroflexi,,6192f360cc32c076e06a16adc526f4f2,Chloroflexi,M1,0,0,0.100316,10,7.50624,11,0.228554,0.293973,202.787821,1,0.533333,24,16
160,Nanoarchaeota,,5d6e017c287a83f93da4d9e64eafc25f,Nanoarchaeota,M15,0,0,0.00089,2,1.515357,2,0.75,0.833333,0,5,1,1,35
161,Crenarchaeota,,df3a93293cdafb83316620d7f6e3b4f1,Crenarchaeota,M28,0,0,0.000347,1,0.763964,1,1,1,0,20,0,0,23
162,Planctomycetota,,03ab112b2863b279213b4d9ef887d65c,Planctomycetota,M4,0,0,0.034528,10,7.688487,10,0.242523,0.293089,105.37354,1,0.711111,32,29
163,Crenarchaeota,,5f49278b671e18401a5df19dcdf098f9,Crenarchaeota,M1,0,0,0.264173,32,25.442672,10,0.271076,0.359577,1234.096908,1,0.481855,239,21
